Tempo	DP1	DP2	DP3	DP4	DP5
0	-3,99026474	1,3077159	1,0280617	-0,135832	-2,516887
0,02	-4,2627277	1,2278148	0,7430809	0,39151576	-1,6992317
0,04	-4,44729967	1,0600222	0,6152391	0,21040644	-0,70313036
0,06	-4,50882344	1,5021421	0,80966526	0,24769364	0,039950587
0,08	-4,59671476	1,7098851	1,1372601	0,6019222	1,6965684
0,1	-4,5703471	1,5207857	1,2384683	0,87624955	1,952252
0,12	-4,2627277	1,2464584	1,201181	0,3196047	1,58737
0,14	-3,80276325	0,86825943	1,1638938	0,1464855	1,4035974
0,16	-3,56838658	0,7430809	1,1905276	0,25568378	1,2144979
0,18	-3,0439684	0,68448675	1,1612304	0,36754543	0,8176554
0,2	-2,71584115	0,564635	1,0919827	0,37020877	0,73509085
0,22	-1,92188964	0,54865474	1,0626856	0,14914887	0,5752885
0,24	-1,04883614	0,4953873	1,0307251	0,04261396	0,44211984
0,26	-0,62695787	0,50071406	1,0307251	-0,07191106	0,43146634
0,28	0,140626079	0,54599136	1,0094182	-0,09055467	0,45810008
0,3	0,495120956	0,5806152	0,90554667	-0,093218036	0,47408032
0,32	1,06641436	0,54865474	0,82298213	-0,047940705	0,51669425
0,34	1,13086787	0,44211984	0,6258925	-0,02130698	0,52468437
0,36	0,96680419	0,4554367	0,52734774	0,005326745	0,5140309
0,38	0,717778886	0,49805066	0,37020877	0,013316862	0,49805066
0,4	0,890631786	0,5406646	0,2823175	0,06658431	0,4953873
0,42	1,0459064	0,5326745	0,2610105	0,13849537	0,5140309
0,44	1,3212991	0,52468437	0,25834712	0,15980235	0,5619716
0,46	1,3447368	0,5513181	0,27432737	0,18909945	0,5832786
0,48	1,13672735	0,55930823	0,30895123	0,19975294	0,6125757
0,5	0,914069475	0,5326745	0,31694132	0,33292156	0,6392094
0,52	0,823248426	0,52734774	0,32226807	0,6978036	0,67383325
0,54	0,694341197	0,564635	0,35422856	0,92951703	0,78036815
0,56	0,659184724	0,6685065	0,3781989	1,2278148	0,8389624
0,58	0,62695787	0,74041754	0,45810008	1,3290229	0,93750715
0,6	0,659184724	0,9215269	0,5699617	1,4355578	1,0227351
0,62	0,7002006	1,0387152	0,6392094	1,6779248	1,0733391
0,64	0,808599935	1,3077159	0,7856949	1,7391822	1,2411317
0,66	0,85547528	1,5207857	0,8629327	1,4994787	1,3609834
0,68	0,914069475	1,608677	1,0307251	0,7537344	1,651291
0,7	0,93750712	1,7471724	1,1772107	0,35156518	1,9389352
0,72	0,94922597	1,8164201	1,2358049	-0,33292156	2,0401435
0,74	0,94922597	2,0348167	1,2917356	-0,6152391	2,202609
0,76	0,925788325	2,3996987	1,2704287	-1,2065078	2,2691934
0,78	0,858404965	2,602115	1,1825374	-1,9336084	2,3624115
0,8	0,814459294	2,8258383	1,1692206	-2,279847	2,4955802
0,82	0,79102166	2,7699075	1,1958543	-2,7858877	2,6180952
0,84	0,73535715	2,6340754	1,2757554	-2,9323733	2,873779
0,86	0,708989754	2,4636197	1,2997258	-2,951017	2,895086
0,88	0,679692706	2,415679	1,2624385	-2,3624115	2,6340754
0,9	0,682622413	1,9788858	1,2411317	-1,7178752	1,8430538
0,92	0,68555212	1,2278148	1,2917356	-0,29563436	1,3423398
0,94	0,7002006	0,8176554	1,4249043	0,14115874	0,3409117
0,96	0,71484919	-0,061257567	1,4302311	0,836299	-0,15181224
0,98	0,73242741	-0,543328	1,1798741	1,6779248	-1,0973095
1	0,80274051	-1,4195776	0,6498629	1,6459643	-1,9495887
1,02	0,85547528	-1,9895393	0,37020877	0,6471995	-2,3384411
1,04	0,984382487	-2,2132626	-0,17045584	0,33558494	-3,0868487
1,06	1,13379761	-2,7139766	-0,41015938	0,24769364	-3,8086228
1,08	1,21582956	-3,009611	-0,79901177	0,46342683	-4,154861
1,1	1,41797953	-3,6408303	-1,1479136	0,6125757	-4,7780905
1,12	1,53223829	-4,149534	-1,3343496	0,5539815	-5,049754
1,14	1,75489622	-4,3333073	-1,7098851	0,3116146	-5,390666
1,16	2,03028892	-4,6102977	-1,8883312	0,20241632	-5,2068934
1,18	2,18849323	-4,706179	-2,2132626	0,11985177	-4,937893
1,2	2,46681567	-4,834021	-2,48759	0,17045584	-4,261396
1,22	2,57521495	-4,826031	-2,610105	0,27432737	-3,8938506
1,24	2,70119256	-4,6981893	-2,8338284	0,19708957	-2,8977494
1,26	2,70998167	-4,080287	-2,9403634	0,15181224	-1,2038444
1,28	2,70119256	-3,5556023	-3,1054924	0,16779247	-0,10387153
1,3	2,5869338	-2,181302	-3,1853936	0,21573317	2,02949
1,32	2,41701053	-0,84162575	-3,1933837	0,28498086	2,3783917
1,34	1,98634326	-0,2423669	-3,1481063	0,3009611	1,9176283
1,36	1,41504979	0,75107104	-3,009611	0,31694132	1,5474194
1,38	1,042976715	0,9428339	-2,908403	0,41548613	1,2997258
1,4	0,272463004	0,8629327	-2,6686993	0,51136756	1,0174084
1,42	-0,105469551	1,566063	-2,4902534	0,75107104	0,9774577
1,44	-0,8730535	2,0481334	-1,8963213	1,0946461	0,7297641
1,46	-1,57325421	2,181302	-1,0014281	1,3183694	0,5140309
1,48	-1,84278754	1,7684793	-0,48739716	1,765816	0,45277333
1,5	-2,3906432	0,9881112	0,4953873	1,952252	0,43945646
1,52	-2,70705193	1,0680124	0,89489317	2,3384411	0,4660902
1,54	-3,3105721	1,2384683	1,3476665	2,580808	0,4767437
1,56	-3,86428713	1,1692206	1,0520321	2,5754812	0,45010996
1,58	-4,11038287	1,0307251	0,6898135	2,4742732	0,43412971
1,6	-4,55569873	0,9215269	0,53533787	2,3064806	0,40483263
1,62	-4,8896859	0,84162575	0,8043385	1,7338555	0,39950588
1,64	-4,959999	0,86825943	1,243795	1,0280617	0,41282275
1,66	-5,0156634	1,014745	1,3876171	0,5832786	0,47408032
1,68	-5,02152266	1,0253984	1,3103793	-0,33558494	0,51669425
1,7	-4,74612974	0,84162575	1,150577	-0,7777048	0,6152391
1,72	-4,17190686	0,63388264	1,1425868	-1,608677	0,72443736
1,74	-3,8232711	0,6285559	0,9961013	-2,1333613	0,78036815
1,76	-2,99123374	0,69514024	0,7963484	-2,3757284	0,90554667
1,78	-2,51076133	0,6498629	0,76172453	-2,8977494	0,97213095
1,8	-1,46485493	0,60724896	0,8283089	-3,273285	1,12927
1,82	-0,366213716	0,543328	0,9108734	-3,4490674	1,35832
1,84	0,166993464	0,5300111	1,0280617	-3,710078	1,5127956
1,86	1,15137594	0,5193576	0,99343795	-3,6940978	1,8483806
1,88	1,41212005	0,5326745	0,9108734	-3,3771565	2,0028563
1,9	1,14551646	0,543328	0,700467	-2,6686993	2,2478864
1,92	1,00489048	0,5539815	0,6019222	-1,4169142	2,436986
1,94	1,18360275	0,5699617	0,4660902	1,2997258	2,5541742
1,96	1,41504979	0,6818234	0,41015938	1,4994787	2,823175
1,98	1,38868235	0,84162575	0,3968425	1,2784188	2,9696603
2	1,24805637	0,92685366	0,39151576	1,4888252	3,217354
2,02	0,99317163	1,0946461	0,3888524	1,6193305	3,1614232
2,04	0,881842654	1,1825374	0,39950588	1,3396764	2,9936306
2,06	0,77930281	1,3982706	0,4181495	0,97213095	2,202609
2,08	0,76758396	1,651291	0,42347625	0,29563436	0,82298213
2,1	0,796881096	1,7844596	0,43945646	0,07191106	0,18909945
2,12	0,89942094	2,0934107	0,4447832	0,24769364	-0,8709228
2,14	0,96094482	2,26653	0,49805066	0,48739716	-1,3476665
2,16	1,054695554	2,6180952	0,63121927	0,33292156	-2,237233
2,18	1,081062895	2,8817692	0,71378386	-0,12517852	-2,9989574
2,2	1,08692232	2,9137297	0,90821004	-0,13050525	-3,3318791
2,22	1,06641436	2,7512639	1,0120816	0	-3,960435
2,24	1,042976715	2,6473923	1,2118345	0,17844597	-4,258733
2,26	0,98145278	2,5222137	1,4834985	0,18909945	-4,7940707
2,28	0,93164775	2,159995	1,6433009	0,18909945	-5,2095566
2,3	0,90821005	1,80843	1,8989847	0,28498086	-5,3347354
2,32	0,837896983	0,86825943	1,9868759	0,37020877	-5,2574973
2,34	0,796881096	0,34357506	2,0534601	0,54599136	-5,0417643
2,36	0,73535715	-0,8283089	1,9176283	0,64453614	-4,4078817
2,38	0,71484919	-1,8164201	1,8031032	0,6764966	-3,6488204
2,4	0,71191945	-2,2185893	1,5048054	0,76971465	-3,2226808
2,42	0,71484919	-2,9323733	1,4515381	0,85494256	-2,2532132
2,44	0,720708593	-3,2679582	1,6646079	1,107963	-1,7418456
2,46	0,74414626	-3,9577715	1,5101322	1,4408846	-0,67916
2,48	0,79102166	-4,482456	1,1319333	1,6433009	0,6045856
2,5	0,82031873	-4,687536	0,07723781	2,0507967	1,3183694
2,52	0,8730535	-5,1163387	-0,44211984	2,2398963	2,1227078
2,54	0,893561504	-5,324082	-1,3077159	2,5914614	2,0854206
2,56	0,96094482	-5,6649933	-1,9815491	2,674026	1,7764695
2,58	1,06348462	-5,6570034	-2,2398963	2,5328672	1,5314392
2,6	1,12500861	-5,366696	-2,6633725	2,1333613	1,3529932
2,62	1,28321292	-4,256069	-2,8711157	1,9442619	1,0280617
2,64	1,39161209	-3,5369587	-3,281275	1,3503299	0,7856949
2,66	1,64649683	-1,9895393	-3,688771	0,4181495	0,6685065
2,68	1,9423976	-0,5539815	-3,8698802	-0,13849537	0,54599136
2,7	2,10939113	0,063920945	-4,1175737	-1,2571118	0,564635
2,72	2,46388593	0,84162575	-4,154861	-1,7205386	0,64187276
2,74	2,61623087	0,8469525	-4,0696335	-2,5914614	0,64453614
2,76	2,8154511	1,0120816	-3,9364645	-3,3744931	0,6125757
2,78	2,83009958	1,8457172	-3,83792	-3,6727908	0,5513181
2,8	2,80373214	2,117381	-3,3505228	-4,192148	0,53533787
2,82	2,75685685	1,6965684	-2,9403634	-4,4345155	0,52468437
2,84	2,5869338	0,9854478	-1,7764695	-4,5889907	0,51669425
2,86	2,02149981	0,92685366	-0,32759482	-4,1442075	0,5193576
2,88	1,38868235	1,1319333	0,38086227	-3,3691664	0,54599136
2,9	0,97852304	1,1372601	1,4861618	0,3409117	0,564635
2,92	0,172852867	0,9401705	1,5900334	1,1958543	0,60991234
2,94	-0,612309346	0,7883583	0,7563978	0,7324275	0,6764966
2,96	-1,03418755	0,7457443	0,65518963	1,3103793	0,71644723
2,98	-1,69630197	0,7563978	1,1106263	1,5633997	0,8176554
3	-1,95411645	0,793685	1,6619445	1,3103793	0,8842397
3,02	-2,5781448	0,7883583	1,4675183	0,5752885	1,044042
3,04	-3,18752434	0,657853	1,2464584	0,42081288	1,2278148
3,06	-3,4599873	0,6125757	0,9881112	0,292971	1,3183694
3,08	-3,98440537	0,6045856	0,89489317	0,32226807	1,4728451
3,1	-4,21585252	0,6152391	0,68448675	0,4660902	1,5314392
3,12	-4,64651957	0,59659547	0,5939321	0,20507969	1,6539544
3,14	-4,986366	0,55930823	0,61790246	0	1,8270736
3,16	-5,0830461	0,55930823	0,793685	-0,19176282	1,9442619
3,18	-5,13871105	0,58860534	0,8842397	-0,15713897	2,1972823
3,2	-5,09769513	0,59925884	0,95615077	0	2,415679
3,22	-4,87210757	0,59659547	0,90821004	0,16246572	2,546184
3,24	-4,47659685	0,5832786	0,8336356	0,2610105	2,8631256
3,26	-4,17776623	0,5912687	0,636546	0,42880297	2,9643335
3,28	-3,31350173	0,62056583	0,5539815	0,47940707	2,8577988
3,3	-2,74806796	0,63388264	0,45010996	0,5539815	2,202609
3,32	-1,47950341	0,69247687	0,39950588	0,64187276	1,651291
3,34	-0,2988304	0,8442891	0,3781989	0,70313036	0,49805066
3,36	0,205079677	0,95615077	0,35689193	0,86559606	-0,01065349
3,38	1,07813321	1,1878642	0,35689193	0,9747943	-0,93750715
3,4	1,35059628	1,2864089	0,36754543	1,2544484	-1,7951131
3,42	1,2187593	1,464855	0,35156518	1,6246573	-2,1972823
3,44	0,720708593	1,6619445	0,33292156	1,8750143	-2,9137297
3,46	0,68848175	1,80843	0,30362448	2,4103522	-3,217354
3,48	0,97266367	2,2105992	0,30628785	2,7113132	-3,7287216
3,5	1,18360275	2,3996987	0,36221868	2,7486005	-4,149534
3,52	1,45606571	2,6047783	0,44744658	2,5275404	-4,338634
3,54	1,29786151	2,5435207	0,48739716	2,4076889	-4,6529117
3,56	1,20997008	2,4609563	0,564635	2,1759753	-4,7434664
3,58	1,12207887	2,1653218	0,59925884	1,3769636	-4,6981893
3,6	1,08985206	2,0641136	0,65518963	0,8256455	-4,3279805
3,62	1,08985206	2,1067276	0,70313036	-0,386189	-4,0296826
3,64	1,13379761	1,787123	0,7377542	-0,95881414	-3,1853936
3,66	1,16895416	1,3689735	0,82031876	-1,9096382	-2,6580458
3,68	1,20997008	0,2610105	0,86825943	-2,8498087	-1,5341026
3,7	1,18360275	-0,292971	1,0227351	-3,3052454	-0,18110934
3,72	1,13965709	-1,2837455	1,2571118	-4,019029	0,70313036
3,74	1,02832818	-2,0507967	1,3929439	-4,301347	1,787123
3,76	0,99317163	-2,3890452	1,6699346	-4,7701	1,5048054
3,78	0,96973393	-2,8924227	1,7977765	-4,847338	1,4115875
3,8	0,93750712	-3,2493145	1,9123015	-4,76211	1,2464584
3,82	0,91113979	-3,454394	1,8936579	-3,6940978	1,0626856
3,84	0,85254554	-3,9923954	1,8909945	-2,0561235	0,7670513
3,86	0,834967276	-4,317327	1,7072217	0,9321804	0,5806152
3,88	0,82910784	-4,9432197	1,5367659	1,5740532	0,48739716
3,9	0,84082669	-5,2095566	1,4888252	1,9629055	0,3196047
3,92	0,846686115	-5,0630713	1,5474194	1,9149649	0,26633725
3,94	0,86719413	-4,2507424	1,3450031	1,7018951	0,2423669
3,96	0,88477235	-3,62485	0,60991234	1,3263595	0,28498086
3,98	0,9199289	-2,2398963	0,2610105	0,8629327	0,30362448
4	0,955085373	-1,2251514	-0,3489018	0,72710073	0,29829773
4,02	0,97852304	-0,8043385	-0,9747943	0,57795185	0,28764424
4,04	1,01367959	0,122515135	-1,251785	0,6125757	0,27699074
4,06	1,031257865	0,47141695	-1,6166672	0,67916	0,26367387
4,08	1,07520347	0,7430809	-1,7311921	0,3781989	0,25568378
4,1	1,15430557	1,1266066	-1,8909945	0,17578259	0,2530204
4,12	1,20411071	1,3290229	-2,0055196	-0,05060408	0,25568378
4,14	1,35352602	1,3130426	-2,0827572	0,007990118	0,3009611
4,16	1,45899545	1,044042	-2,2851737	0,07191106	0,386189
4,18	1,74024763	0,61790246	-2,402362	0,16779247	0,43146634
4,2	2,0683751	0,7084571	-2,6367388	0,21040644	0,52734774
4,22	2,26759522	0,72710073	-2,8151848	0,32226807	0,57795185
4,24	2,66896575	0,71644723	-2,873779	0,4660902	0,6658431
4,26	2,8857642	0,772378	-2,9723237	0,54865474	0,71644723
4,28	2,9326396	0,85494256	-3,0042841	0,7191106	0,7457443
4,3	2,95314745	0,85760593	-2,9936306	0,80966526	0,82031876
4,32	2,94435834	0,86825943	-2,8577988	1,044042	0,89755654
4,34	2,56056636	0,8283089	-2,7539272	1,3876171	0,950824
4,36	1,91310042	0,772378	-2,4955802	1,5420927	1,1052996
4,38	1,65235631	0,6764966	-2,3357778	1,8830044	1,1905276
4,4	0,89942094	0,67916	-1,901648	2,109391	1,3423398
4,42	0,477542681	0,6818234	-1,1825374	2,4396493	1,5074688
4,44	-0,249025337	0,6471995	-0,7297641	2,5088968	1,5847067
4,46	-1,13086787	0,6232292	0,2823175	2,3996987	1,6166672
4,48	-1,52051944	0,59659547	0,7777048	1,9149649	1,5793799
4,5	-2,10939113	0,59925884	1,1052996	1,7205386	1,5527462
4,52	-2,44337797	0,6045856	0,9614775	1,2198247	1,6672713
4,54	-3,1142815	0,61790246	1,1559037	0,31694132	1,7338555
4,56	-3,62991057	0,6152391	1,4914886	-0,14914887	1,8164201
4,58	-3,85842776	0,61790246	1,5207857	-1,1186165	1,8190835
4,6	-4,28323566	0,6978036	1,4035974	-1,5740532	1,6539544
4,62	-4,49417507	0,74041754	1,0893193	-2,3171341	1,0360519
4,64	-4,8984749	0,78036815	1,0493687	-2,8977494	0,60991234
4,66	-5,09769513	0,7883583	0,92951703	-3,153433	-0,23171341
4,68	-5,1064838	0,85760593	0,89489317	-3,61686	-0,63388264
4,7	-5,0098037	0,99343795	0,90821004	-3,8805337	-1,3716369
4,72	-4,83109165	1,0680124	0,9241903	-3,883197	-1,9895393
4,74	-4,27737618	1,2278148	0,950824	-3,646157	-2,26653
4,76	-3,75881759	1,4568648	0,94816065	-2,8844326	-2,780561
4,78	-3,4599873	1,5980235	0,8256455	0,20507969	-2,9936306
4,8	-2,64552805	1,9708956	0,72710073	0,9108734	-3,2759483
4,82	-2,15040694	2,1759753	0,5140309	0,9747943	-3,3425326
4,84	-1,10450065	2,4796	0,42880297	1,2464584	-3,209364
4,86	-0,064453617	2,8045313	0,3116146	0,9428339	-2,3917086
4,88	0,457034743	2,9536803	0,25834712	0,52734774	-0,88690305
4,9	1,23340778	2,9909673	0,24503027	0,51136756	-0,098544784
4,92	1,007820176	2,8551354	0,21573317	0,5300111	0,64187276
4,94	0,75000574	2,5435207	0,21573317	0,5912687	0,5193576
4,96	0,764654264	2,2718568	0,27699074	0,5619716	0,122515135
4,98	0,96680419	2,0587869	0,386189	0,5806152	-0,018643608
5	1,26856433	1,4462113	0,45010996	0,4367931	-0,08522792
5,02	1,25391585	1,0573589	0,6019222	0,3116146	-0,19708957
5,04	1,14258672	0,41282275	0,69514024	0,16779247	-0,23171341
5,06	0,881842654	-0,117188394	0,90821004	0,17045584	-0,21573317
5,08	0,785162246	-0,43146634	1,1532403	0,25568378	-0,135832
5,1	0,670903574	-1,0573589	1,2864089	0,32493144	-0,07990117
5,12	0,682622413	-1,3769636	1,5793799	0,33558494	-0,002663373
5,14	0,72656804	-2,1067276	1,744509	0,34623843	-0,013316862
5,16	0,82031873	-2,8178482	2,0694404	0,3781989	-0,08256455
5,18	0,870123815	-3,1188092	2,2345695	0,49006054	-0,13050525
5,2	0,975593355	-3,5715826	2,2425597	0,62056583	-0,12517852
5,22	1,019539026	-3,7260582	2,0481334	0,6898135	-0,07723781
5,24	1,007820176	-3,9710884	1,8989847	0,84162575	-0,069247685
5,26	0,943366523	-4,109584	1,6379741	1,0626856	-0,09588141
5,28	0,902350636	-4,1175737	1,58737	1,1958543	-0,10120816
5,3	0,83203758	-4,0429997	1,6672713	1,4595282	-0,09055467
5,32	0,79102166	-3,9524448	1,5740532	1,5793799	-0,05326745
5,34	0,76758396	-3,5769093	1,2970624	1,80843	0
5,36	0,706060036	-2,9323733	0,50337744	2,088084	0,018643608
5,38	0,67676301	-2,5195503	-0,29829773	2,2905004	0,029297099
5,4	0,667973856	-1,4408846	-0,657853	2,6420655	0,029297099
5,42	0,7002006	-0,91620016	-1,2704287	2,6686993	0,07457443
5,44	0,720708593	-0,13316862	-1,5021421	2,5009067	0,22638667
5,46	0,76758396	0,22905004	-1,8244102	2,0348167	0,33558494
5,48	0,785162246	0,18909945	-2,088084	1,7604892	0,5406646
5,5	0,81738899	-0,031960472	-2,2105992	1,3343496	0,60724896
5,52	0,85547528	-0,026633725	-2,458293	1,0706757	0,6498629
5,54	0,88477235	0,2903076	-2,5941248	0,37020877	0,59659547
5,56	0,99024189	0,42880297	-2,8471453	-0,42880297	0,56729835
5,58	1,14551646	0,3409117	-3,0255911	-0,9241903	0,5726251
5,6	1,22461867	0,122515135	-3,0975022	-1,7072217	0,5912687
5,62	1,4004012	0,05326745	-3,2626314	-1,9708956	0,59659547
5,64	1,50294111	-0,015980236	-3,3558495	-2,5009067	0,657853
5,66	1,74317737	-0,055930823	-3,4623842	-2,92971	0,7297641
5,68	2,02442944	-0,07191106	-3,3265524	-3,0868487	0,9428339
5,7	2,18556349	-0,06658431	-3,145443	-3,3531861	1,0813292
5,72	2,484394	-0,039950587	-2,559501	-3,4703743	1,3929439
5,74	2,5781448	-0,045277335	-2,1493416	-3,6434937	1,651291
5,76	2,6103715	-0,063920945	-1,2171613	-3,7287216	1,7311921
5,78	2,43458886	-0,047940705	-0,2530204	-3,7447019	1,7498357
5,8	2,27931407	0,029297099	0,2823175	-3,7127414	1,6885782
5,82	1,8398578	0,08522792	0,8256455	-3,5422854	1,3982706
5,84	1,61719987	0,1065349	0,814992	-3,3691664	0,8176554
5,86	1,17481364	0,18643607	1,1532403	-2,865789	0,44211984
5,88	0,506839795	0,22638667	1,2864089	-2,5088968	-0,36488205
5,9	0,111328976	0,24503027	1,2544484	-1,5633997	-1,0680124
5,92	-0,624028185	0,24503027	1,1692206	-0,26367387	-1,3130426
5,94	-0,93750712	0,27965412	0,950824	0,39151576	-1,5980235
5,96	-1,52930855	0,41015938	0,7191106	1,1372601	-1,7018951
5,98	-2,07423458	0,47408032	0,59659547	1,0813292	-1,9442619
6	-2,33790832	0,56729835	0,543328	0,4953873	-2,1999457
6,02	-2,8388888	0,64453614	0,6232292	0,135832	-2,3038173
6,04	-3,04982788	0,700467	0,6658431	-0,07723781	-2,3251243
6,06	-3,3984632	0,88690305	0,772378	-0,3595553	-2,181302
