Tempo	C1	C2	C3	C4	C5
0	2,284907285	-2,5009067	0,97213095	1,5261124	0,30628785
0,02	1,56513091	-3,454394	0,700467	1,4249043	-0,70579374
0,04	1,00156122	-4,1069202	0,836299	1,5527462	-1,5207857
0,06	-0,566632485	-4,4345155	1,1985177	2,0481334	-1,8057666
0,08	-1,48855885	-4,980507	1,422241	2,096074	-2,0587869
0,1	-3,228273905	-4,97518	1,5234491	2,2132626	-1,901648
0,12	-4,278841225	-4,76211	1,5953602	2,351758	-1,2358049
0,14	-4,33397303	-4,2454157	1,5713898	2,2612033	-1,1692206
0,16	-3,29259444	-4,045663	1,58737	1,8883312	-1,4568648
0,18	-2,416611035	-3,8272665	1,3450031	1,7311921	-2,3118074
0,2	-2,54525199	-3,6195233	1,1399235	1,5554096	-3,068205
0,22	-3,49168129	-3,4410772	0,8336356	1,3929439	-3,3292158
0,24	-4,05218807	-2,8977494	0,772378	1,2997258	-3,7207315
0,26	-4,958800345	-2,4423127	0,76971465	1,0946461	-3,8885238
0,28	-5,513181305	-1,0999728	0,700467	0,8735862	-4,0989304
0,3	-5,74596005	0,23704016	0,59925884	0,793685	-4,08295
0,32	-6,168637145	0,700467	0,40216926	0,7191106	-4,0989304
0,34	-6,1226943	0,67383325	0,35422856	0,70579374	-4,133554
0,36	-5,1548244	0,32759482	0,36221868	0,6871501	-4,07496
0,38	-3,98480474	0,07191106	0,39950588	0,6685065	-3,968425
0,4	-3,54681321	0,21040644	0,41548613	0,657853	-3,646157
0,42	-2,52074894	0,45810008	0,44211984	0,64453614	-3,251978
0,44	-1,83466423	1,4142509	0,45810008	0,64453614	-2,2478864
0,46	-0,51150068	2,0161731	0,4927239	0,67383325	-1,6992317
0,48	0,306287838	2,8418186	0,52468437	0,7111205	-0,52734774
0,5	0,618701426	2,1014009	0,5539815	0,72443736	0,65252626
0,52	1,28947177	1,4328945	0,6605164	0,7670513	1,2065078
0,54	1,61413701	0,9668042	0,72443736	0,793685	2,008183
0,56	1,92961352	1,0546955	0,85760593	0,8496159	2,181302
0,58	1,04750441	0,97213095	0,9401705	0,8842397	1,6193305
0,6	0,62176429	0,9428339	0,95881414	0,90821004	0,59925884
0,62	0,897423373	1,0839926	1,0067549	0,9854478	0,6818234
0,64	1,49468467	1,2864089	1,0520321	1,0360519	1,9682323
0,66	2,77803085	1,2198247	1,1319333	1,1692206	2,8604622
0,68	2,96180338	1,1612304	1,12927	1,3956072	3,939128
0,7	2,52074894	1,0493687	1,1026362	1,5394293	2,7113132
0,72	1,58963396	0,9987647	1,0946461	1,8563707	1,6113404
0,74	1,3476666	0,93750715	1,1692206	2,0188365	0,6978036
0,76	0,9372408	0,91620016	1,4888252	2,2718568	0,90821004
0,78	0,327727989	0,90821004	1,7631526	2,4210057	0,836299
0,8	0,039817419	0,90821004	1,829737	2,4529662	0,40216926
0,82	-0,107200741	0,91620016	1,9442619	2,5275404	0,14382212
0,84	0,471683287	0,91620016	2,0348167	2,6207585	-0,005326745
0,86	0,851480171	0,8842397	2,1839654	2,7193034	0,80966526
0,88	1,26803163	0,8789129	2,2931638	2,5088968	1,2544484
0,9	1,24659149	0,91620016	2,4423127	2,3890452	1,4169142
0,92	0,903549135	0,94816065	2,6926696	1,8164201	1,1905276
0,94	0,508437816	0,9801211	2,7219667	1,2597752	0,68448675
0,96	0,376734043	0,9694676	2,7645807	0,49006054	0,46875358
0,98	0,248093146	0,9801211	3,2280076	0,19975294	0,42880297
1	0,238904519	1,0413786	3,646157	-0,037287217	0,36754543
1,02	0,376734043	1,0706757	4,0216928	-0,6392094	0,33292156
1,04	0,71671358	1,107963	3,7180681	-1,0946461	0,35156518
1,06	0,909674898	1,1452502	2,5488474	-2,02949	0,58860534
1,08	1,22208844	1,1798741	1,6326474	-2,5541742	0,73509085
1,1	1,32316355	1,2810822	1,2491218	-2,7912145	0,9987647
1,12	1,399735495	1,3663101	0,18377271	-3,3398693	1,1052996
1,14	1,43649007	1,400934	-0,31427795	-3,603543	1,222488
1,16	1,525313425	1,494152	-0,9641409	-4,08295	1,2651019
1,18	1,80097245	1,5527462	-1,7498357	-4,5517035	1,3316863
1,2	1,914299085	1,672598	-2,1839654	-4,7354765	1,5926968
1,22	2,12257478	1,8270736	-2,9137297	-4,868645	1,7578259
1,24	2,526874645	1,9309452	-3,2413244	-4,8872886	2,1546683
1,26	2,68308156	2,1573317	-3,8618903	-4,96719	2,4849267
1,28	2,689207265	2,2691934	-4,3865747	-5,076388	2,5009067
1,3	2,82703695	2,4609563	-4,6129613	-5,105685	2,6713626
1,32	3,647888205	2,559501	-5,004477	-4,6768823	3,38781
1,34	4,24208665	2,5941248	-5,174933	-3,6568105	3,6754541
1,36	4,40748218	2,8071947	-5,5158443	-3,2413244	3,7660089
1,38	4,46873946	2,9936306	-5,854093	-2,4476395	3,667464
1,4	3,5437503	3,3984635	-6,005905	-1,9123015	3,3611763
1,42	3,00774657	3,9923954	-6,2722425	-0,4181495	2,7965412
1,44	2,22671257	4,152198	-6,3654604	1,1958543	2,3171341
