Tempo	Controle	Problema Motor
0	2,284907285	-3,99026474
0,02	1,56513091	-4,2627277
0,04	1,00156122	-4,44729967
0,06	-0,566632485	-4,50882344
0,08	-1,48855885	-4,59671476
0,1	-3,228273905	-4,5703471
0,12	-4,278841225	-4,2627277
0,14	-4,33397303	-3,80276325
0,16	-3,29259444	-3,56838658
0,18	-2,416611035	-3,0439684
0,2	-2,54525199	-2,71584115
0,22	-3,49168129	-1,92188964
0,24	-4,05218807	-1,04883614
0,26	-4,958800345	-0,62695787
0,28	-5,513181305	0,140626079
0,3	-5,74596005	0,495120956
0,32	-6,168637145	1,06641436
0,34	-6,1226943	1,13086787
0,36	-5,1548244	0,96680419
0,38	-3,98480474	0,717778886
0,4	-3,54681321	0,890631786
0,42	-2,52074894	1,0459064
0,44	-1,83466423	1,3212991
0,46	-0,51150068	1,3447368
0,48	0,3062878375	1,13672735
0,5	0,618701426	0,914069475
0,52	1,28947177	0,823248426
0,54	1,61413701	0,694341197
0,56	1,92961352	0,659184724
0,58	1,04750441	0,62695787
0,6	0,62176429	0,659184724
0,62	0,8974233725	0,7002006
0,64	1,49468467	0,808599935
0,66	2,77803085	0,85547528
0,68	2,96180338	0,914069475
0,7	2,52074894	0,93750712
0,72	1,58963396	0,94922597
0,74	1,3476666	0,94922597
0,76	0,9372408	0,925788325
0,78	0,327727989	0,858404965
0,8	0,03981741945	0,814459294
0,82	-0,1072007414	0,79102166
0,84	0,471683287	0,73535715
0,86	0,851480171	0,708989754
0,88	1,26803163	0,679692706
0,9	1,24659149	0,682622413
0,92	0,903549135	0,68555212
0,94	0,508437816	0,7002006
0,96	0,376734043	0,71484919
0,98	0,2480931455	0,73242741
1	0,238904519	0,80274051
1,02	0,376734043	0,85547528
1,04	0,71671358	0,984382487
1,06	0,9096748975	1,13379761
1,08	1,22208844	1,21582956
1,1	1,32316355	1,41797953
1,12	1,399735495	1,53223829
1,14	1,43649007	1,75489622
1,16	1,525313425	2,03028892
1,18	1,80097245	2,18849323
1,2	1,914299085	2,46681567
1,22	2,12257478	2,57521495
1,24	2,526874645	2,70119256
1,26	2,68308156	2,70998167
1,28	2,689207265	2,70119256
1,3	2,82703695	2,5869338
1,32	3,647888205	2,41701053
1,34	4,24208665	1,98634326
1,36	4,40748218	1,41504979
1,38	4,46873946	1,042976715
1,4	3,5437503	0,272463004
1,42	3,00774657	-0,105469551
1,44	2,22671257	-0,8730535
1,46	1,666205905	-1,57325421
1,48	0,4226772445	-1,84278754
1,5	-0,55744387	-2,3906432
1,52	-1,240465785	-2,70705193
1,54	-2,897482845	-3,3105721
1,56	-3,67545405	-3,86428713
1,58	-4,68926691	-4,11038287
1,6	-4,8424108	-4,55569873
1,62	-4,60350635	-4,8896859
1,64	-4,0613768	-4,959999
1,66	-4,05831389	-5,0156634
1,68	-4,60044367	-5,02152266
1,7	-5,44273495	-4,74612974
1,72	-5,86234925	-4,17190686
1,74	-6,520868	-3,8232711
1,76	-6,7077039	-2,99123374
1,78	-6,8914762	-2,51076133
1,8	-6,187014375	-1,46485493
1,82	-5,4090434	-0,366213716
1,84	-4,321721505	0,166993464
1,86	-4,015433495	1,15137594
1,88	-2,12257478	1,41212005
1,9	1,2496544	1,14551646
1,92	2,318599065	1,00489048
1,94	2,416611035	1,18360275
1,96	1,73358912	1,41504979
1,98	1,577382435	1,38868235
2	1,127139265	1,24805637
2,02	1,13632788	0,99317163
2,04	2,113386165	0,881842654
2,06	3,46717824	0,77930281
2,08	3,770403455	0,76758396
2,1	2,94342615	0,796881096
2,12	2,18995811	0,89942094
2,14	1,53756495	0,96094482
2,16	1,29253468	1,054695554
2,18	0,906612045	1,081062895
2,2	0,024503027	1,08692232
2,22	-0,2664704215	1,06641436
2,24	-0,364482518	1,042976715
2,26	0,77797109	0,98145278
2,28	1,5130619	0,93164775
2,3	2,16239215	0,90821005
2,32	2,015373965	0,837896983
2,34	1,19452248	0,796881096
2,36	0,388985545	0,73535715
2,38	0,1592696755	0,71484919
2,4	0,05513181075	0,71191945
2,42	0,1592696755	0,71484919
2,44	0,58500983	0,720708593
2,46	0,973995375	0,74414626
2,48	1,07507037	0,79102166
2,5	1,234339965	0,82031873
2,52	1,34460369	0,8730535
2,54	1,31397482	0,893561504
2,56	1,16695675	0,96094482
2,58	1,151642315	1,06348462
2,6	1,29253468	1,12500861
2,62	1,49468467	1,28321292
2,64	1,6110741	1,39161209
2,66	2,012311055	1,64649683
2,68	2,257341325	1,9423976
2,7	2,48399425	2,10939113
2,72	2,75046489	2,46388593
2,74	3,0659414	2,61623087
2,76	3,66626555	2,8154511
2,78	3,82859817	2,83009958
2,8	3,862289835	2,80373214
2,82	3,488618495	2,75685685
2,84	3,23746252	2,5869338
2,86	2,77496794	2,02149981
2,88	2,27571867	1,38868235
2,9	0,3124136	0,97852304
2,92	-0,75959386	0,172852867
2,94	-0,96480676	-0,612309346
2,96	-2,137889215	-1,03418755
2,98	-2,90667146	-1,69630197
3	-3,98786765	-1,95411645
3,02	-4,162451795	-2,5781448
3,04	-4,092005555	-3,18752434
3,06	-3,94192446	-3,4599873
3,08	-4,0215592	-3,98440537
3,1	-4,24514956	-4,21585252
3,12	-4,952674525	-4,64651957
3,14	-5,36309975	-4,986366
3,16	-6,1226943	-5,0830461
3,18	-6,248272	-5,13871105
3,2	-5,865412275	-5,09769513
3,22	-4,89754295	-4,87210757
3,24	-4,686204	-4,47659685
3,26	-4,42585941	-4,17776623
3,28	-3,350789155	-3,31350173
3,3	-2,667767125	-2,74806796
3,32	-1,418112725	-1,47950341
3,34	-0,71671358	-0,2988304
3,36	0,820851439	0,205079677
3,38	1,44567857	1,07813321
3,4	1,33847787	1,35059628
3,42	0,569695395	1,2187593
3,44	0,3614196425	0,720708593
3,46	1,53756495	0,68848175
3,48	3,3691665	0,97266367
3,5	3,880667065	1,18360275
3,52	3,21602238	1,45606571
3,54	2,0796945	1,29786151
3,56	0,53600373	1,20997008
3,58	0,71671358	1,12207887
3,6	0,71671358	1,08985206
3,62	0,1592696755	1,08985206
3,64	-0,2664704215	1,13379761
3,66	-0,9464294495	1,16895416
3,68	-0,502312065	1,20997008
3,7	0,1194522595	1,18360275
3,72	1,24659149	1,13965709
3,74	1,49162176	1,02832818
3,76	1,206774005	0,99317163
3,78	0,44411735	0,96973393
3,8	0,1470181735	0,93750712
3,82	-0,0888234815	0,91113979
3,84	0,03369166385	0,85254554
3,86	0,1776469515	0,834967276
3,88	0,526815092	0,82910784
3,9	0,71671358	0,84082669
3,92	1,11488774	0,846686115
3,94	1,378295355	0,86719413
3,96	1,41198702	0,88477235
3,98	1,38135815	0,9199289
4	1,424238545	0,955085373
4,02	1,690708955	0,97852304
4,04	1,908173265	1,01367959
4,06	2,033751195	1,031257865
4,08	2,389045075	1,07520347
4,1	2,48399425	1,15430557
4,12	2,477868545	1,20411071
4,14	2,431925355	1,35352602
4,16	2,35535341	1,45899545
4,18	2,16545506	1,74024763
4,2	2,012311055	2,0683751
4,22	1,1302021175	2,26759522
4,24	-0,2113386165	2,66896575
4,26	-0,82697719	2,8857642
4,28	-2,235901185	2,9326396
4,3	-3,70302001	2,95314745
4,32	-4,22064651	2,94435834
4,34	-4,582066095	2,56056636
4,36	-4,4227965	1,91310042
4,38	-3,35997777	1,65235631
4,4	-2,4594912	0,89942094
4,42	-2,689207265	0,477542681
4,44	-4,211457895	-0,249025337
4,46	-4,922046	-1,13086787
4,48	-5,4182319	-1,52051944
4,5	-5,02005797	-2,10939113
4,52	-4,698455755	-2,44337797
4,54	-3,58356767	-3,1142815
4,56	-2,51462312	-3,62991057
4,58	0,1837727025	-3,85842776
4,6	1,04750441	-4,28323566
4,62	0,58194692	-4,49417507
4,64	0,04288029955	-4,8984749
4,66	0,44718026	-5,09769513
4,68	1,332352165	-5,1064838
4,7	0,80247414	-5,0098037
4,72	0,2664704215	-4,83109165
4,74	-0,24503027	-4,27737618
4,76	-0,1470181735	-3,75881759
4,78	0,272596184	-3,4599873
4,8	0,471683287	-2,64552805
4,82	0,4257400855	-2,15040694
4,84	0,1592696755	-1,10450065
4,86	-0,0122515135	-0,0644536167
4,88	-0,367545405	0,457034743
